許可證字號,藥廠,顯示名稱,分類標籤,濃縮倍數,濃縮生藥組成,原粉生藥組成,賦形劑組成,解析狀態,人工校正提示,原始處方(供對照用)
衛署藥製字第039808號,仙豐,麻杏薏甘湯濃縮細粒(仙豐),濃縮顆粒劑,6,麻黃:5|炙甘草:10|薏苡仁:5|杏仁:4,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有： 
 
 麻黃 (5 g)
 
 炙甘草 (10 g)
 
 薏苡仁 (5 g)
 
 杏仁 (4 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例24:4=6:1) ( )
 
 澱粉 (2 g)"
衛署藥製字第039809號,科達,乳香濃縮細粒(科達),濃縮顆粒劑,8,乳香:2,乳香:0.4,澱粉:0.32|硬脂酸鎂:0.01|麥芽糊精:0.01|羧甲基纖維素鈉:0.01,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 乳香 (2.00 g)
 
 以上生藥製成浸膏0.25g(生藥與浸膏比例2:0.25=8:1) ( )
 
 乳香 (0.40 g)
 
 澱粉 (0.32 g)
 
 硬脂酸鎂 (0.01 g)
 
 麥芽糊精 (0.01 g)
 
 羧甲基纖維素鈉 (0.01 g)"
衛署藥製字第039810號,科達,香附濃縮細粒(科達),濃縮顆粒劑,7,香附:2.8,香附:0.3,澱粉:0.28|麥芽糊精:0.01|羧甲基纖維素鈉:0.01,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 香附 (2.80 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例2.8:0.4＝7:1) ( )
 
 香附 (0.30 g)
 
 澱粉 (0.28 g)
 
 麥芽糊精 (0.01 g)
 
 羧甲基纖維素鈉 (0.01 g)"
衛署藥製字第039811號,科達,防風濃縮細粒(科達),濃縮顆粒劑,2.73,防風:1.5,,澱粉:0.42|硬脂酸鎂:0.01|糊精:0.01|羧甲基纖維素鈉:0.01,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 防風 (1.50 g)
 
 以上生藥製成浸膏0.55g(生藥與浸膏比例1.5:0.55=2.73:1) ( )
 
 澱粉 (0.42 g)
 
 硬脂酸鎂 (0.01 g)
 
 糊精 (0.01 g)
 
 羧甲基纖維素鈉 (0.01 g)"
衛署藥製字第039813號,富田,甘露飲濃縮錠(富田),濃縮錠劑,5.2,熟地黃:0.1175|麥門冬:0.1175|枳殼:0.1175|炙甘草:0.1175|茵陳蒿:0.1175|枇杷葉:0.1175|石斛:0.1175|黃芩:0.1175|生地黃:0.1175|天門冬:0.1175,,澱粉:0.114,✅ 解析成功,無需校正。,"處方:每錠(340mg)中含有：
 
 熟地黃 (117.5 mg)
 
 麥門冬 (117.5 mg)
 
 枳殼 (117.5 mg)
 
 炙甘草 (117.5 mg)
 
 茵陳蒿 (117.5 mg)
 
 枇杷葉 (117.5 mg)
 
 石斛 (117.5 mg)
 
 黃芩 (117.5 mg)
 
 生地黃 (117.5 mg)
 
 天門冬 (117.5 mg)
 
 以上生藥製成浸膏226mg(生藥與浸膏比例1175:226=5.2:1) ( )
 
 澱粉 (114 mg)"
衛署藥製字第039827號,仙豐,香薷飲濃縮細粒(仙豐),濃縮顆粒劑,6,香薷:12|白扁豆:6|厚朴:6,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 香薷 (12 g)
 
 白扁豆 (6 g)
 
 厚朴 (6 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例24:4=6:1) ( )
 
 澱粉 (2 g)"
衛署藥製字第039833號,天明,葛根濃縮細粒(天明),濃縮顆粒劑,8.09,葛根:5.42,,玉米澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 葛根 (5.42 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例5.42:0.67=8.09:1) ( )
 
 玉米澱粉 (0.33 g)"
衛署藥製字第039834號,天明,黃耆濃縮細粒(天明),濃縮顆粒劑,5.34,黃耆:2.67,,玉米澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 黃耆 (2.67 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.67:0.5=5.34:1) ( )
 
 玉米澱粉 (0.50 g)"
衛署藥製字第039836號,天明,丹參濃縮細粒(天明),濃縮顆粒劑,5,丹參:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 丹參 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039837號,天明,厚朴七物湯濃縮細粒(天明),濃縮顆粒劑,9,厚朴:8|甘草:3|大黃:3|大棗:2.5|枳實:3.5|桂枝:2|生薑:5,,澱粉:3,✅ 解析成功,無需校正。,"處方:每６公克中含有：
 
 厚朴 (8.0 g)
 
 甘草 (3.0 g)
 
 大黃 (3.0 g)
 
 大棗 (2.5 g)
 
 枳實 (3.5 g)
 
 桂枝 (2.0 g)
 
 生薑 (5.0 g)
 
 以上生藥製成浸膏3g(生藥與浸膏比例27:3=9:1) ( )
 
 澱粉 (3.0 g)"
衛署藥製字第039838號,港香蘭,補骨脂濃縮細粒(港香蘭),濃縮顆粒劑,6.6,補骨脂:3.3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 補骨脂 (3.3 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.3:0.5=6.6:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039839號,港香蘭,青蒿濃縮細粒(港香蘭),濃縮顆粒劑,6.66,青蒿:3.33,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 青蒿 (3.33 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.33:0.5=6.66:1) ( )
 
 澱粉 (0.50 g)"
衛署藥製字第039840號,莊松榮,細辛濃縮細粒(莊松榮),濃縮顆粒劑,5.5,細辛:2.75,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 細辛 (2.75 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.75:0.5=5.5:1) ( )
 
 澱粉 (0.50 g)"
衛署藥製字第039841號,莊松榮,”莊松榮”枳殼濃縮細粒(莊松榮),濃縮顆粒劑,5,枳殼:2.5,,結晶性纖維素:0.32|澱粉:0.175|羧甲基纖維素鈉:0.005,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 枳殼 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5.0:1.0) ( )
 
 結晶性纖維素 (0.320 g)
 
 澱粉 (0.175 g)
 
 羧甲基纖維素鈉 (0.005 g)"
衛署藥製字第039842號,莊松榮,”莊松榮”知母濃縮細粒(莊松榮),濃縮顆粒劑,3.33,知母:1.5,,澱粉:0.22|結晶性纖維素:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 知母 (1.50 g)
 
 以上生藥製成浸膏0.45g(生藥與浸膏比例1.5:0.45=3.33:1.0) ( )
 
 澱粉 (0.22 g)
 
 結晶性纖維素 (0.33 g)"
衛署藥製字第039846號,港香蘭,槐花濃縮細粒(港香蘭),濃縮顆粒劑,6,槐花:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 槐花 (3.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3:0.5=6:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039847號,莊松榮,羌活濃縮細粒(莊松榮),濃縮顆粒劑,5,羌活:2.5,,澱粉:0.25|結晶性纖維素:0.25,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 羌活 (2.50 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5：0.5＝5：1) ( )
 
 澱粉 (0.25 g)
 
 結晶性纖維素 (0.25 g)"
衛署藥製字第039848號,莊松榮,蒲公英濃縮細粒(莊松榮),濃縮顆粒劑,3.6,蒲公英:1.8,,結晶性纖維素:0.25|澱粉:0.245|羧甲基纖維素鈉:0.005,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 蒲公英 (1.800 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1.8:0.5=3.6:1) ( )
 
 結晶性纖維素 (0.250 g)
 
 澱粉 (0.245 g)
 
 羧甲基纖維素鈉 (0.005 g)"
衛署藥製字第039849號,港香蘭,殭蠶濃縮細粒(港香蘭),濃縮顆粒劑,6.8,白殭蠶:3.4,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 白殭蠶 (3.4 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.4:0.5=6.8:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039857號,明通,川芎散濃縮顆粒(明通),濃縮顆粒劑,5.75,川芎:1.5|細辛:1.5|羌活:1.5|槐花:1.5|甘草:1.5|香附:1.5|石膏:1.5|荊芥:2.5|薄荷:2.5|菊花:2.5|防風:2.5|茵陳蒿:2.5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 川芎 (1.5 g)
 
 細辛 (1.5 g)
 
 羌活 (1.5 g)
 
 槐花 (1.5 g)
 
 甘草 (1.5 g)
 
 香附 (1.5 g)
 
 石膏 (1.5 g)
 
 荊芥 (2.5 g)
 
 薄荷 (2.5 g)
 
 菊花 (2.5 g)
 
 防風 (2.5 g)
 
 茵陳蒿 (2.5 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23:4=5.75:1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第039861號,天明,調胃承氣湯濃縮細粒(天明),濃縮顆粒劑,4.4,大黃:10|甘草:5|芒硝:0.5,,玉米澱粉:1,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 大黃 (10.0 g)
 
 甘草 (5.0 g)
 
 芒硝 (0.5 g)
 
 以上生藥製成浸膏3.5g(生藥與浸膏比例15.5:3.5=4.4:1) ( )
 
 玉米澱粉 (1.0 g)"
衛署藥製字第039862號,天明,正骨紫金丹濃縮細粒(天明),濃縮顆粒劑,4.93,丁香:2|木香:2|血竭:2|兒茶:2|熟大黃:2|紅花:2|當歸:4|蓮肉:4|茯苓:4|白芍:4|牡丹皮:1|甘草:0.6,,玉米澱粉:1.5,✅ 解析成功,無需校正。,"處方:每7.5公克中含有：
 
 丁香 (2.0 g)
 
 木香 (2.0 g)
 
 血竭 (2.0 g)
 
 兒茶 (2.0 g)
 
 熟大黃 (2.0 g)
 
 紅花 (2.0 g)
 
 當歸 (4.0 g)
 
 蓮肉 (4.0 g)
 
 茯苓 (4.0 g)
 
 白芍 (4.0 g)
 
 牡丹皮 (1.0 g)
 
 甘草 (0.6 g)
 
 以上生藥製成浸膏6g(生藥與浸膏比例29.6:6=4.93:1) ( )
 
 玉米澱粉 (1.5 g)"
衛署藥製字第039864號,天明,桂枝加芍藥湯濃縮細粒(天明),濃縮顆粒劑,5.6,桂枝:4.2|白芍:8.4|甘草:2.8|生薑:4.2|大棗:2.8,,玉米澱粉:2,✅ 解析成功,無需校正。,"處方:每６公克中含有：
 
 桂枝 (4.2 g)
 
 白芍 (8.4 g)
 
 甘草 (2.8 g)
 
 生薑 (4.2 g)
 
 大棗 (2.8 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例22.4:4=5.6:1) ( )
 
 玉米澱粉 (2.0 g)"
衛署藥製字第039868號,順天堂,桑螵蛸散濃縮細粒(順天堂),濃縮顆粒劑,6,人參:3|茯苓:3|遠志:3|石菖蒲:3|桑螵蛸:3|龍骨:3|龜板:3|當歸:3,:1,澱粉:2,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每６公克中含有：
 
 人參 (3.0 g)
 
 茯苓 (3.0 g)
 
 遠志 (3.0 g)
 
 石菖蒲 (3.0 g)
 
 桑螵蛸 (3.0 g)
 
 龍骨 (3.0 g)
 
 龜板 (3.0 g)
 
 當歸 (3.0 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例24:4=6:1) ( g)
 
 澱粉 (2.0 g)"
衛署藥製字第039869號,東陽,川芎茶調散濃縮顆粒(東陽),濃縮顆粒劑,6.1,白芷:2|甘草:2|羌活:2|荊芥:4|川芎:4|細辛:1|防風:1.5|薄荷:8,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有： 
 
 白芷 (2.0 g)
 
 甘草 (2.0 g)
 
 羌活 (2.0 g)
 
 荊芥 (4.0 g)
 
 川芎 (4.0 g)
 
 細辛 (1.0 g)
 
 防風 (1.5 g)
 
 薄荷 (8.0 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例24.5:4=6.1:1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第039886號,復旦,神麴濃縮細粒(復旦),濃縮顆粒劑,6,神麴:4,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 神麴 (4.00 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4:0.67=6:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039887號,復旦,梔子濃縮細粒(復旦),濃縮顆粒劑,8.7,梔子:2,,澱粉:0.77,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 梔子 (2.00 g)
 
 以上生藥製成浸膏0.23g（生藥與浸膏比例2：0.23=8.7：1） ( )
 
 澱粉 (0.77 g)"
衛署藥製字第039888號,復旦,白朮濃縮細粒(復旦),濃縮顆粒劑,10.63,白朮:3.4,,澱粉:0.68,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 白朮 (3.40 g)
 
 以上生藥製成浸膏0.32g(生藥與浸膏比例3.4:0.32=10.63:1) ( )
 
 澱粉 (0.68 g)"
衛署藥製字第039889號,復旦,車前子濃縮細粒(復旦),濃縮顆粒劑,6,車前子:4,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 車前子 (4.00 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4:0.67=6:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039890號,復旦,葛根濃縮細粒(復旦),濃縮顆粒劑,6,葛根:4,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 葛根 (4.00 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4:0.67=6:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039891號,復旦,桂枝濃縮細粒(復旦),濃縮顆粒劑,11.61,桂枝:3.6,,澱粉:0.69,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 桂枝 (3.60 g)
 
 以上生藥製成浸膏0.31g(生藥與浸膏比例3.6:0.31=11.61:1) ( )
 
 澱粉 (0.69 g)"
衛署藥製字第039892號,復旦,黃柏濃縮細粒(復旦),濃縮顆粒劑,12.8,黃柏:3.2,,澱粉:0.75,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 黃柏 (3.20 g)
 
 以上生藥製成浸膏0.25g(生藥與浸膏比例3.2:0.25=12.8:1) ( )
 
 澱粉 (0.75 g)"
衛署藥製字第039899號,科達,葛花解酲湯濃縮細粒(科達),濃縮顆粒劑,5.625,葛花:3.5|砂仁:3.5|青皮:1.5|白朮:1.5|神麴:1|豬苓:1|白豆蔻:3.5|木香:0.5|陳皮:1.5|人參:1.5|茯苓:1.5|乾薑:1|澤瀉:1,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 葛花 (3.5 g)
 
 砂仁 (3.5 g)
 
 青皮 (1.5 g)
 
 白朮 (1.5 g)
 
 神麴 (1.0 g)
 
 豬苓 (1.0 g)
 
 白豆蔻 (3.5 g)
 
 木香 (0.5 g)
 
 陳皮 (1.5 g)
 
 人參 (1.5 g)
 
 茯苓 (1.5 g)
 
 乾薑 (1.0 g)
 
 澤瀉 (1.0 g)
 
 以上生藥製成浸膏4g（生藥與浸膏比例22.5：4=5.625：1） ( )
 
 澱粉 (2.0 g)"
衛署藥製字第039900號,勝昌,土茯苓濃縮散(勝昌),濃縮散劑,5,土茯苓:3.35,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 土茯苓 (3.35 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.35:0.67=5:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039901號,勝昌,七寶美髯丹濃縮細粒(勝昌),濃縮顆粒劑,5,何首烏:8|茯苓:2|懷牛膝:2|當歸:2|枸杞子:2|菟絲子:2|補骨脂:2,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有： 
 
 何首烏 (8 g)
 
 茯苓 (2 g)
 
 懷牛膝 (2 g)
 
 當歸 (2 g)
 
 枸杞子 (2 g)
 
 菟絲子 (2 g)
 
 補骨脂 (2 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例20:4=5:1) ( )
 
 澱粉 (2 g)"
衛署藥製字第039902號,莊松榮,香附濃縮細粒(莊松榮),濃縮顆粒劑,9.33,香附:2.8,,結晶性纖維素:0.3|澱粉:0.4,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 香附 (2.8 g)
 
 以上生藥製成浸膏0.3g(生藥與浸膏比例2.8：0.3＝9.33：1) ( )
 
 結晶性纖維素 (0.3 g)
 
 澱粉 (0.4 g)"
衛署藥製字第039903號,莊松榮,黃柏濃縮細粒(莊松榮),濃縮顆粒劑,7.5,黃柏:2.7,,結晶性纖維素:0.4|澱粉:0.24,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 黃柏 (2.70 g)
 
 以上生藥製成浸膏0.36g(生藥與浸膏比例2.70:0.36=7.5:1.0) ( )
 
 結晶性纖維素 (0.40 g)
 
 澱粉 (0.24 g)"
衛署藥製字第039904號,港香蘭,地骨皮濃縮細粒(港香蘭),濃縮顆粒劑,7.6,地骨皮:3.8,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 地骨皮 (3.8 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.8:0.5=7.6:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039911號,勝昌,燈心草濃縮散(勝昌),濃縮散劑,14.2,燈心草:7.1,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 燈心草 (7.1 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例7.1:0.5=14.2:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039912號,科達,桂枝濃縮細粒(科達),濃縮顆粒劑,20,桂枝:5,,澱粉:0.75,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 桂枝 (5 g)
 
 以上生藥製成浸膏0.25g ( 生藥與浸膏比例5:0.25==20:1 ) ( )
 
 澱粉 (0.75 g)"
衛署藥製字第039913號,勝昌,七寶美髯丹濃縮散(勝昌),濃縮散劑,5,何首烏:8|茯苓:2|懷牛膝:2|當歸:2|枸杞子:2|菟絲子:2|補骨脂:2,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 何首烏 (8 g)
 
 茯苓 (2 g)
 
 懷牛膝 (2 g)
 
 當歸 (2 g)
 
 枸杞子 (2 g)
 
 菟絲子 (2 g)
 
 補骨脂 (2 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例20:4=5:1) ( )
 
 澱粉 (2 g)"
衛署藥製字第039914號,勝昌,合歡皮濃縮散(勝昌),濃縮散劑,7.19,合歡皮:4.82,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 合歡皮 (4.82 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.82:0.67=7.19:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039917號,勝昌,白殭蠶濃縮散(勝昌),濃縮散劑,5.55,白殭蠶:3.72,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 白殭蠶 (3.72 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.72:0.67=5.55:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039918號,港香蘭,桑枝濃縮細粒(港香蘭),濃縮顆粒劑,7,桑枝:3.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 桑枝 (3.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.5:0.5=7:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039919號,港香蘭,白鮮皮濃縮細粒(港香蘭),濃縮顆粒劑,7,白鮮皮:3.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 白鮮皮 (3.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.5:0.5=7:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039920號,港香蘭,乾薑濃縮細粒(港香蘭),濃縮顆粒劑,7.2,乾薑:3.6,乾薑:0.5,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 乾薑 (3.6 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.6:0.5=7.2:1) ( )
 
 乾薑 (0.5 g)"
衛署藥製字第039921號,港香蘭,桑葉濃縮細粒(港香蘭),濃縮顆粒劑,6.8,桑葉:3.4,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 桑葉 (3.4 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.4:0.5=6.8:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039933號,港香蘭,全栝樓濃縮細粒(港香蘭),濃縮顆粒劑,7,全栝樓:3.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 全栝樓 (3.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.5:0.5=7:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039934號,晉安,地龍濃縮顆粒(晉安),濃縮顆粒劑,5,地龍:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 地龍 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039935號,晉安,白殭蠶濃縮顆粒(晉安),濃縮顆粒劑,5,白殭蠶:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 白殭蠶 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039937號,富田,補陽還五湯濃縮錠(富田),濃縮錠劑,5.2,黃耆:0.98|歸尾:0.049|赤芍:0.049|地龍:0.0245|川芎:0.0245|桃仁:0.0245|紅花:0.0245,,澱粉:0.114,✅ 解析成功,無需校正。,"處方:每錠(340mg)中含有：
 
 黃耆 (980.0 mg)
 
 歸尾 (49.0 mg)
 
 赤芍 (49.0 mg)
 
 地龍 (24.5 mg)
 
 川芎 (24.5 mg)
 
 桃仁 (24.5 mg)
 
 紅花 (24.5 mg)
 
 以上生藥製成浸膏226mg（生藥與浸膏比例1176：226=5.2：1） ( )
 
 澱粉 (114.0 mg)"
衛署藥製字第039938號,晉安,菟絲子濃縮顆粒(晉安),濃縮顆粒劑,5,菟絲子:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 菟絲子 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039939號,晉安,天花粉濃縮顆粒(晉安),濃縮顆粒劑,5,天花粉:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 天花粉 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5:0.5=5:1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第039968號,明通,大柴胡湯濃縮顆粒(明通),濃縮顆粒劑,5.88,柴胡:6|半夏:3|黃芩:2.5|白芍:2.5|生薑:3.5|大棗:2.5|枳實:2|大黃:1.5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有： 
 
 柴胡 (6.0 g)
 
 半夏 (3.0 g)
 
 黃芩 (2.5 g)
 
 白芍 (2.5 g)
 
 生薑 (3.5 g)
 
 大棗 (2.5 g)
 
 枳實 (2.0 g)
 
 大黃 (1.5 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23.5:4=5.88:1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第039980號,順然,參苓白朮散濃縮細粒(順然),濃縮顆粒劑,6.2,白扁豆:2.3|人參:3|茯苓:3|白朮:3|甘草:3|山藥:3|蓮子肉:1.5|桔梗:1.5|薏苡仁:1.5|砂仁:1.5|大棗:1.5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有： 
 
 白扁豆 (2.3 g)
 
 人參 (3.0 g)
 
 茯苓 (3.0 g)
 
 白朮 (3.0 g)
 
 甘草 (3.0 g)
 
 山藥 (3.0 g)
 
 蓮子肉 (1.5 g)
 
 桔梗 (1.5 g)
 
 薏苡仁 (1.5 g)
 
 砂仁 (1.5 g)
 
 大棗 (1.5 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例24.8:4=6.2:1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第039981號,復旦,大棗濃縮細粒(復旦),濃縮顆粒劑,10,大棗:3,,澱粉:0.7,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 大棗 (3.0 g)
 
 以上生藥製成浸膏0.3g（生藥與浸膏比例3：0.3=10：1） ( )
 
 澱粉 (0.7 g)"
衛署藥製字第039982號,復旦,天麻濃縮細粒(復旦),濃縮顆粒劑,11.88,天麻:3.8,,澱粉:0.68,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 天麻 (3.80 g)
 
 以上生藥製成浸膏0.32g（生藥與浸膏比例3.8：0.32=11.88：1） ( )
 
 澱粉 (0.68 g)"
衛署藥製字第039983號,復旦,龍膽濃縮細粒(復旦),濃縮顆粒劑,9.09,龍膽:3,,澱粉:0.67,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 龍膽 (3.00 g)
 
 以上生藥製成浸膏0.33g（生藥與浸膏比例3：0.33=9.09：1） ( )
 
 澱粉 (0.67 g)"
衛署藥製字第039984號,天一,黃耆濃縮顆粒(天一),濃縮顆粒劑,4.93,黃耆:3.3,,澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 黃耆 (3.30 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.3:0.67=4.93:1) ( )
 
 澱粉 (0.33 g)"
衛署藥製字第039985號,莊松榮,”莊松榮”杜仲濃縮細粒(莊松榮),濃縮顆粒劑,11.21,杜仲:3.7,,結晶性纖維素:0.33|澱粉:0.34,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 杜仲 (3.7 g)
 
 以上生藥製成浸膏0.33g(生藥與浸膏比例3.70：0.33＝11.21：1) ( )
 
 結晶性纖維素 (0.33 g)
 
 澱粉 (0.34 g)"
衛署藥製字第039986號,莊松榮,〝莊松榮〞梔子濃縮細粒(莊松榮),濃縮顆粒劑,6,梔子:3,,結晶性纖維素:0.38|澱粉:0.113|羧甲基纖維素納:0.007,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 梔子 (3.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.0:0.5=6.0:1) ( )
 
 結晶性纖維素 (0.38 g)
 
 澱粉 (0.113 g)
 
 羧甲基纖維素納 (0.007 g)"
